"postcode","ced_2016","num_in_ced_2016","proportion_in_ced_2016"
"2748","McMahon","2","0.0905"
"2749","Lindsay","1","1.0000"
"2750","Lindsay","1","1.0000"
"2752","Hume","1","1.0000"
"2753","Lindsay","2","0.2823"
"2753","Macquarie","2","0.7177"
"2754","Macquarie","1","1.0000"
"2755","Macquarie","1","1.0000"
"2756","Macquarie","2","0.9040"
"2756","Berowra","2","0.0960"
"2757","Macquarie","1","1.0000"
"2758","Macquarie","1","1.0000"
"2759","McMahon","1","1.0000"
"2760","Lindsay","2","0.8736"
"2760","Chifley","2","0.1264"
"2761","Chifley","1","1.0000"
"2762","Chifley","2","0.5481"
"2762","Greenway","2","0.4519"
"2763","Greenway","2","0.6271"
"2763","Chifley","2","0.3729"
"2765","Chifley","6","0.2631"
"2765","Macquarie","6","0.2530"
"2765","Mitchell","6","0.1653"
"2765","Lindsay","6","0.1474"
"2765","Greenway","6","0.0995"
"2765","Berowra","6","0.0717"
"2766","McMahon","2","0.6819"
"2766","Chifley","2","0.3181"
"2767","Chifley","1","1.0000"
"2768","Greenway","1","1.0000"
"2769","Greenway","1","1.0000"
"2770","Chifley","2","0.8307"
"2770","McMahon","2","0.1693"
"2773","Macquarie","1","1.0000"
"2774","Macquarie","1","1.0000"
"2775","Berowra","3","0.0580"
"2775","Macquarie","3","0.7774"
"2775","Robertson","3","0.1646"
"2776","Macquarie","1","1.0000"
"2777","Macquarie","1","1.0000"
"2778","Macquarie","1","1.0000"
"2779","Macquarie","1","1.0000"
"2780","Macquarie","1","1.0000"
"2782","Macquarie","1","1.0000"
"2783","Macquarie","1","1.0000"
"2784","Macquarie","1","1.0000"
"2785","Macquarie","2","0.8689"
"2785","Calare","2","0.1311"
"2786","Macquarie","2","0.5552"
"2786","Calare","2","0.4448"
"2787","Calare","3","0.4433"
"2787","Hume","3","0.2925"
"2787","Macquarie","3","0.2643"
"2790","Calare","1","1.0000"
"2791","Calare","1","1.0000"
"2792","Calare","2","0.6608"
"2792","Riverina","2","0.3392"
"2793","Riverina","1","1.0000"
"2794","Riverina","2","0.8513"
"2794","Hume","2","0.1487"
"2795","Calare","1","1.0000"
"2797","Calare","1","1.0000"
"2798","Calare","1","1.0000"
"2799","Calare","2","0.8290"
"2799","Riverina","2","0.1710"
"2800","Calare","1","1.0000"
"2803","Riverina","1","1.0000"
"2804","Calare","2","0.6111"
"2804","Riverina","2","0.3889"
"2805","Riverina","2","0.8204"
"2805","Calare","2","0.1796"
"2806","Riverina","2","0.5284"
"2806","Calare","2","0.4716"
"2807","Riverina","1","1.0000"
"2808","Hume","2","0.6829"
"2808","Riverina","2","0.3171"
"2809","Riverina","1","1.0000"
"2810","Riverina","1","1.0000"
"2817","Parkes","1","1.0000"
"2818","Parkes","2","0.4009"
"2818","Calare","2","0.5991"
"2820","Calare","1","1.0000"
"2821","Parkes","1","1.0000"
"2822","Parkes","1","1.0000"
"2823","Parkes","1","1.0000"
"2824","Parkes","1","1.0000"
