"POSTCODE","DISTRICT","area_sqkm","proportion_in_district"
"3629","Shepparton","149.718","0.490902831"
"3623","Euroa","127.877","1"
"3725","Euroa","256.36","0.828499129"
"3725","Shepparton","53.067","0.171500871"
"3759","Eildon","21.071","1"
"3728","Ovens Valley","376.27","1"
"3036","Niddrie","6.524","0.370850387"
"3036","Sunbury","3.721","0.211516598"
"3036","Sydenham","7.347","0.417633015"
"3638","Shepparton","445.109","1"
"3740","Ovens Valley","652.068","1"
"3278","South-West Coast","61.091","1"
"3215","Lara","17.923","1"
"3435","Euroa","84.212","0.312091643"
"3435","Macedon","185.619","0.687908357"
"3023","St Albans","4.955","0.125268613"
"3023","Kororoit","33.165","0.838452787"
"3023","Sydenham","1.435","0.036278599"
"3485","Mildura","609.289","1"
"3377","Lowan","524.837","0.397952901"
"3377","Ripon","794.005","0.602047099"
"3727","Ovens Valley","246.617","1"
"3006","Prahran","0.273","0.149753154"
"3006","Albert Park","1.55","0.850246846"
"3040","Essendon","4.853","0.555453817"
"3040","Niddrie","3.884","0.444546183"
"3596","Mildura","124.424","0.871090824"
"3596","Murray Plains","18.413","0.128909176"
"3321","Eureka","199.51","0.606629105"
"3321","Polwarth","129.373","0.393370895"
"3128","Box Hill","7.013","1"
"3976","Narre Warren South","12.058","0.90688929"
"3976","Narre Warren North","1.238","0.09311071"
"3920","Hastings","15.148","1"
"3646","Ovens Valley","235.725","0.677106073"
"3646","Euroa","12.71","0.036508721"
"3646","Shepparton","99.701","0.286385206"
"3732","Ovens Valley","250.58","0.970976867"
"3732","Euroa","7.49","0.029023133"
"3898","Ovens Valley","104.943","0.075646862"
"3898","Gippsland East","1282.332","0.924353138"
"3002","Richmond","0.04","0.021563342"
"3002","Melbourne","1.815","0.978436658"
"3142","Malvern","4.28","1"
"3617","Euroa","33.298","1"
"3190","Sandringham","2.549","0.695308238"
"3190","Bentleigh","1.117","0.304691762"
"3438","Macedon","26.212","1"
"3431","Macedon","72.105","1"
"3916","Nepean","35.711","1"
"3430","Macedon","73.083","0.839118204"
"3430","Sunbury","14.012","0.160881796"
"3019","Laverton","4.328","1"
"3700","Benambra","281.395","1"
"3437","Macedon","184.661","1"
"3191","Sandringham","3.696","1"
"3180","Bayswater","0.468","0.083407592"
"3180","Rowville","5.143","0.916592408"
"3062","Greenvale","5.331","1"
"3114","Warrandyte","9.479","1"
"3618","Euroa","51.363","0.919067387"
"3618","Murray Plains","4.523","0.080932613"
"3630","Euroa","98.863","0.696625492"
"3630","Shepparton","43.054","0.303374508"
"3612","Euroa","507.705","1"
"3204","Bentleigh","7.34","0.881046693"
"3204","Oakleigh","0.4","0.048013444"
"3204","Caulfield","0.591","0.070939863"
"3442","Macedon","275.213","1"
"3557","Euroa","88.28","0.328382304"
"3557","Bendigo East","180.553","0.671617696"
"3034","Niddrie","5.403","1"
"3544","Mildura","201.73","0.202006345"
"3544","Murray Plains","796.902","0.797993655"
"3747","Ovens Valley","52.465","0.123783459"
"3747","Benambra","371.38","0.876216541"
"3572","Bendigo East","92.343","0.312462568"
"3572","Murray Plains","203.19","0.687537432"
"3044","Pascoe Vale","7.99","1"
"3558","Euroa","173.28","0.471653946"
"3558","Bendigo East","194.108","0.528346054"
"3224","Geelong","33.46","0.558784235"
"3224","Bellarine","26.42","0.441215765"
"3573","Murray Plains","632.024","1"
"3052","Melbourne","4.091","1"
"3068","Richmond","1.754","0.421330771"
"3068","Brunswick","2.409","0.578669229"
"3031","Essendon","2.893","0.577791092"
"3031","Melbourne","2.114","0.422208908"
"3418","Lowan","2938.289","1"
"3165","Bentleigh","8.978","1"
"3254","Polwarth","18.174","1"
"3332","Eureka","88.309","1"
"3284","South-West Coast","223.077","1"
"3335","Melton","12.224","0.187723636"
"3335","Kororoit","10.542","0.161893208"
