"SA1_CODE_2016","district","proportion_in_district"
2103939,Geelong,1
2104001,Geelong,1
2104002,Geelong,1
2104003,Geelong,1
2104004,Geelong,1
2104005,Geelong,1
2104006,Geelong,1
2104007,Geelong,1
2104008,Geelong,1
2104009,Geelong,1
2104010,Geelong,1
2104011,Geelong,1
2104012,Geelong,1
2104013,Geelong,1
2104014,Geelong,1
2104015,Geelong,1
2104016,Geelong,1
2104017,Geelong,1
2104018,Geelong,1
2104019,Geelong,1
2104020,Geelong,1
2104021,Geelong,1
2104022,Geelong,1
2104023,Geelong,1
2104024,Geelong,1
2104025,Geelong,1
2104026,Geelong,1
2104027,Geelong,1
2104028,Geelong,1
2104029,Geelong,1
2104030,Geelong,1
2104031,Geelong,1
2104032,Geelong,1
2104033,Geelong,1
2104034,Lara,1
2104035,Lara,1
2104036,Lara,1
2104037,Geelong,0.8229
2104037,Lara,0.1771
2104038,Lara,1
2104039,Lara,1
2104040,Lara,1
2104041,Lara,1
2104042,Lara,1
2104043,Lara,1
2104044,Lara,1
2104045,Lara,1
2104046,Lara,1
2104047,Lara,1
2104048,Lara,1
2104049,Geelong,1
2104050,Lara,1
2104101,South Barwon,1
2104102,South Barwon,1
2104103,South Barwon,1
2104104,South Barwon,1
2104105,South Barwon,1
2104107,South Barwon,1
2104108,South Barwon,1
2104109,South Barwon,1
2104110,South Barwon,1
2104111,South Barwon,1
2104112,South Barwon,1
2104113,South Barwon,1
2104115,South Barwon,1
2104116,South Barwon,1
2104117,South Barwon,1
2104118,South Barwon,1
2104119,South Barwon,1
2104120,South Barwon,1
2104121,South Barwon,1
2104122,South Barwon,1
2104123,South Barwon,1
2104124,South Barwon,1
2104125,South Barwon,1
2104126,South Barwon,1
2104128,South Barwon,1
2104129,South Barwon,1
2104130,South Barwon,1
2104131,South Barwon,1
2104132,South Barwon,1
2104133,South Barwon,1
2104134,South Barwon,1
2104135,South Barwon,1
2104136,South Barwon,1
2104137,South Barwon,1
2104138,South Barwon,1
2104139,South Barwon,1
2104140,South Barwon,1
2104141,South Barwon,1
2104143,South Barwon,1
2104144,South Barwon,1
2104145,South Barwon,1
2104146,South Barwon,1
2104147,South Barwon,1
2104148,South Barwon,1
2104149,South Barwon,1
2104150,Geelong,0.067
2104150,South Barwon,0.933
2104151,South Barwon,1
2104152,South Barwon,1
2104153,South Barwon,1
2104201,South Barwon,1
2104202,South Barwon,1
2104203,South Barwon,1
2104204,South Barwon,1
2104205,South Barwon,1
2104206,South Barwon,1
2104207,South Barwon,1
2104208,South Barwon,1
2104209,South Barwon,1
2104210,South Barwon,1
2104211,South Barwon,1
2104212,South Barwon,1
2104213,South Barwon,1
2104215,South Barwon,1
2104216,South Barwon,1
2104217,South Barwon,1
2104218,South Barwon,1
2104219,South Barwon,1
2104220,South Barwon,1
2104221,South Barwon,1
2104222,South Barwon,1
2104223,South Barwon,1
2104224,South Barwon,1
2104225,South Barwon,1
2104228,South Barwon,1
2104229,South Barwon,1
2104230,South Barwon,1
2104231,South Barwon,1
2104232,South Barwon,1
